site_id,model_b_state,confidence,reason,days_since_last,active_days_30,active_days_90,active_days_180,active_days_365,as_of_date
INDIA_PROMOTED_000001,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000002,DORMANT,MEDIUM,No detection for >90d,92,0,0,3,3,2026-09-03
INDIA_PROMOTED_000003,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000004,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000005,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000006,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000007,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000008,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000009,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000010,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000011,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000012,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000013,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000014,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000015,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000016,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000017,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000018,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000019,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000020,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,90,0,0,2,2,2026-09-03
INDIA_PROMOTED_000021,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000022,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000023,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000024,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000025,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,78,0,1,2,2,2026-09-03
INDIA_PROMOTED_000026,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000027,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,78,0,1,2,2,2026-09-03
INDIA_PROMOTED_000028,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000029,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,73,0,2,3,3,2026-09-03
INDIA_PROMOTED_000030,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000031,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000032,DORMANT,MEDIUM,No detection for >90d,93,0,0,2,2,2026-09-03
INDIA_PROMOTED_000033,DORMANT,MEDIUM,No detection for >90d,94,0,0,1,1,2026-09-03
INDIA_PROMOTED_000034,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,15,2,15,20,20,2026-09-03
INDIA_PROMOTED_000035,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,7,3,19,24,24,2026-09-03
INDIA_PROMOTED_000036,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,5,23,28,28,2026-09-03
INDIA_PROMOTED_000037,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,7,30,34,34,2026-09-03
INDIA_PROMOTED_000038,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,12,29,34,34,2026-09-03
INDIA_PROMOTED_000039,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,89,0,1,3,3,2026-09-03
INDIA_PROMOTED_000040,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,6,4,19,24,24,2026-09-03
INDIA_PROMOTED_000041,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,70,0,15,20,20,2026-09-03
INDIA_PROMOTED_000042,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,33,0,12,15,15,2026-09-03
INDIA_PROMOTED_000043,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,12,33,36,36,2026-09-03
INDIA_PROMOTED_000044,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000045,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000046,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000047,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000048,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000049,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,16,42,46,46,2026-09-03
INDIA_PROMOTED_000050,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,88,0,1,2,2,2026-09-03
INDIA_PROMOTED_000051,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000052,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000053,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000054,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000055,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000056,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000057,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000058,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000059,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000060,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000061,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000062,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000063,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000064,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000065,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,75,0,1,2,2,2026-09-03
INDIA_PROMOTED_000066,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,77,0,1,2,2,2026-09-03
INDIA_PROMOTED_000067,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000068,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000069,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000070,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000071,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000072,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,77,0,1,2,2,2026-09-03
INDIA_PROMOTED_000073,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,77,0,1,2,2,2026-09-03
INDIA_PROMOTED_000074,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,77,0,1,2,2,2026-09-03
INDIA_PROMOTED_000075,DORMANT,MEDIUM,No detection for >90d,92,0,0,2,2,2026-09-03
INDIA_PROMOTED_000076,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000077,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000078,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000079,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000080,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,82,0,1,2,2,2026-09-03
INDIA_PROMOTED_000081,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,8,25,28,28,2026-09-03
INDIA_PROMOTED_000082,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,7,29,33,33,2026-09-03
INDIA_PROMOTED_000083,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000084,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000085,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000086,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000087,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,32,0,15,19,19,2026-09-03
INDIA_PROMOTED_000088,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,8,2,15,18,18,2026-09-03
INDIA_PROMOTED_000089,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,8,2,14,18,18,2026-09-03
INDIA_PROMOTED_000090,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,68,0,11,15,15,2026-09-03
INDIA_PROMOTED_000091,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,15,3,22,26,26,2026-09-03
INDIA_PROMOTED_000092,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,6,5,21,24,24,2026-09-03
INDIA_PROMOTED_000093,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,14,2,10,14,14,2026-09-03
INDIA_PROMOTED_000094,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,82,0,4,7,7,2026-09-03
INDIA_PROMOTED_000095,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,71,0,5,7,7,2026-09-03
INDIA_PROMOTED_000096,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,84,0,3,5,5,2026-09-03
INDIA_PROMOTED_000097,PERSISTENT,HIGH,Currently active with >=90d history and repeated recent activity,0,9,25,28,28,2026-09-03
INDIA_PROMOTED_000098,DORMANT,MEDIUM,No detection for >90d,93,0,0,1,1,2026-09-03
INDIA_PROMOTED_000099,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
INDIA_PROMOTED_000100,DORMANT,MEDIUM,No detection for >90d,91,0,0,2,2,2026-09-03
INDIA_PROMOTED_000101,INTERMITTENT,MEDIUM,Irregular activity not meeting other state rules,79,0,8,10,10,2026-09-03
INDIA_PROMOTED_000102,DORMANT,MEDIUM,No detection for >90d,92,0,0,1,1,2026-09-03
